Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.3715217411518097,0.43678686022758484,0.29182296991348267,0.33736059069633484,,,,,,,,16,True,0.0001,0.001,0.9,Focal,True,0.995,ASSAULT
0.3553333282470703,0.3854064643383026,0.29858526587486267,0.36860987544059753,,,,,,,,16,True,0.0001,0.001,0.9,Focal,True,0.99,ASSAULT
0.3780434727668762,0.48080042004585266,0.20140844583511353,0.42374154925346375,,,,,,,,16,True,0.0001,0.05,0.9,Focal,True,0.999,ASSAULT
0.37478262186050415,0.4072471559047699,0.3190140724182129,0.38918107748031616,,,,,,,,16,True,0.0001,0.05,0.9,Focal,True,0.995,ASSAULT
0.36847826838493347,0.3875539004802704,0.3598841428756714,0.3565163016319275,,,,,,,,16,True,0.0001,0.05,0.9,Focal,True,0.99,ASSAULT
0.40755555033683777,0.5171400308609009,0.31422188878059387,0.31928250193595886,,,,,,,,16,True,0.0001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.3931868076324463,0.4969267249107361,0.3229629695415497,0.27834102511405945,,,,,,,,16,True,0.0001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.3959999978542328,0.5450538396835327,0.27550259232521057,0.26816144585609436,,,,,,,,16,True,0.0001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.3947826027870178,0.5221360325813293,0.21905475854873657,0.3531598448753357,,,,,,,,16,True,0.0001,0.001,0.95,Focal,True,0.999,ASSAULT
0.3799999952316284,0.456620991230011,0.2934702932834625,0.36902356147766113,,,,,,,,16,True,0.0001,0.001,0.95,Focal,True,0.995,ASSAULT
0.3982222080230713,0.5308012962341309,0.2757296562194824,0.2762271463871002,,,,,,,,16,True,0.0001,0.001,0.95,Focal,True,0.99,ASSAULT
0.39152175188064575,0.5496766567230225,0.20059435069561005,0.3837733566761017,,,,,,,,16,True,0.0001,0.05,0.95,Focal,True,0.999,ASSAULT
0.41304346919059753,0.539479672908783,0.24681170284748077,0.36152416467666626,,,,,,,,16,True,0.0001,0.05,0.95,Focal,True,0.995,ASSAULT
0.38733333349227905,0.5220009088516235,0.20199692249298096,0.3397497534751892,,,,,,,,16,True,0.0001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5367391109466553,0.9109995365142822,0.03525881469249725,0.39591076970100403,,,,,,,,16,True,0.0001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5197826027870178,0.854860782623291,0.04351087659597397,0.4275093078613281,,,,,,,,16,True,0.0001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5297825932502747,0.915107250213623,0.015753937885165215,0.38197025656700134,,,,,,,,16,True,0.0001,0.0005,0.99,Focal,True,0.99,ASSAULT
0.5149999856948853,0.9237790703773499,0.032258063554763794,0.2806691527366638,,,,,,,,16,True,0.0001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5308889150619507,0.9328392744064331,0.028417818248271942,0.3253127932548523,,,,,,,,16,True,0.0001,0.001,0.99,Focal,True,0.995,ASSAULT
